number,vs,lang,sentence,modif-sentence,Relevance,Quality
668,паста VS пицца_objA,en,"Варианты макарон очень высоки в калориях и натрии, хотя, я полагаю, совместное блюдо с макаронами может быть лучше, чем блюдо с пиццей.","Варианты макарон очень высоки в калориях и натрии, хотя, я полагаю, совместное блюдо с макаронами может быть лучше, чем блюдо с пиццей.",2,1
669,паста VS пицца_objA,en,"Это свежее летнее блюдо с пастой сходится быстрее, чем нужно доставщику пиццы, чтобы добраться до твоего дома.","Это свежее летнее блюдо с пастой сходится быстрее, чем нужно доставщику пиццы, чтобы добраться до твоего дома.",2,1
670,паста VS пицца_objA,en,"Итальянская еда - макароны гораздо лучше, чем пицца; обе - высококалорийные, но пицца - это суперкалорийно, даже без сыра и начинок, я понимаю.","Итальянская еда - макароны гораздо лучше, чем пицца;обе - высококалорийные, но пицца - это суперкалорийно, даже без сыра и начинок, я понимаю.",2,1
671,паста VS пицца_objA,en,"Хотя, возможно, эта паста не так хороша, как специализация Вустер-стрит, она, несомненно, намного лучше, чем аналогичные цены на всепроникающие пиццерии Нью-Хейвена.","Хотя, возможно, эта паста не так хороша, как специализация Вустер-стрит, она, несомненно, намного лучше, чем аналогичные цены на всепроникающие пиццерии Нью-Хейвена.",2,1
672,паста VS пицца_objA,en,"Сэндвичи - лучшее, что я когда-либо пробовал, а корочка с макаронами намного лучше обычной пиццы.","Сэндвичи - лучшее, что я когда-либо пробовал, а корочка с макаронами намного лучше обычной пиццы.",1,2
673,паста VS пицца_objA,en,"С тех пор я нашел другие пиццерии, такие же хорошие, если не лучше, чем паста Миста, но из-за трудностей, с которыми я столкнулся в поисках пиццы в начале моего опыта Балтимора, паста Миста всегда будет высоко цениться этого блогера.","С тех пор я нашел другие пиццерии, такие же хорошие, если не лучше, чем паста Миста, но из-за трудностей, с которыми я столкнулся в поисках пиццы в начале моего опыта Балтимора, паста Миста всегда будет высоко цениться этого блогера.",2,1
674,паста VS пицца_objA,en,"В то время как общая стоимость продуктов для блюда с пастой намного выше цены на пиццу, на самом деле она меньше за еду, примерно 3,50 долл. США против 5,00 долл. США.","В то время как общая стоимость продуктов для блюда с пастой намного выше цены на пиццу, на самом деле она меньше за еду, примерно 3,50 долл. США против 5,00 долл. США.",2,1
675,паста VS пицца_objB,en,Пицца супруга была лучше моей пасты.,Пицца супруга была лучше моей пасты.,2,2
676,паста VS пицца_objB,en,"Я думала, пицца была лучше, чем макароны.","Я думала, пицца была лучше, чем макароны.",2,2
677,паста VS пицца_objB,en,"Пицца Монти довольно хороша по сравнению с пиццей - она намного лучше, чем Пицца Хат, папа Джонс... их креветочный Парм тоже хорош, их макароны - это так.","Пицца Монти довольно хороша по сравнению с пиццей - она намного лучше, чем Пицца Хат, папа Джонс... их креветочный Парм тоже хорош, их макароны - это так.",2,1
678,паста VS пицца_objB,en,"Думаю, мне это понравилось больше, чем мне бы понравилось красное, которое они могли бы спарить с макаронами.","Думаю, мне это понравилось больше, чем мне бы понравилось красное, которое они могли бы спарить с макаронами.",0,1
679,паста VS пицца_objB,en,"Однако я даю это место 2 звезды, потому что у них были пиццы-начо, которые были вкусными и вкусными - лучше, чем макароны!","Однако я даю это место 2 звезды, потому что у них были пиццы-начо, которые были вкусными и вкусными - лучше, чем макароны!",2,1
680,паста VS пицца_objB,en,"Пицца очень хороша - по моему мнению, лучше чем что-либо еще в Кларксвилле (Пицца Хат, Ледос, Паста Блиц) и некоторые другие любимые - гиро, кальцоне и рубен.","Пицца очень хороша - по моему мнению, лучше чем что-либо еще в Кларксвилле (Пицца Хат, Ледос, Паста Блиц) и некоторые другие любимые - гиро, кальцоне и рубен.",2,1
681,паста VS пицца_objB,en,"Пицца выглядела мне лучше, чем макароны, но я был там, чтобы заключить сделку на обед, и вряд ли я вернусь.","Пицца выглядела мне лучше, чем макароны, но я был там, чтобы заключить сделку на обед, и вряд ли я вернусь.",2,1
682,паста VS пицца_objB,en,"Пицца, подаваемая на юге Италии, намного лучше для вас, чем то, что вы обычно найдете в Соединенных Штатах и Канаде, где популяризация пиццы и макарон (и продажа этих продуктов через крупные сети ресторанов) скомпрометировала кухню.","Пицца, подаваемая на юге Италии, намного лучше для вас, чем то, что вы обычно найдете в Соединенных Штатах и Канаде, где популяризация пиццы и макарон (и продажа этих продуктов через крупные сети ресторанов) скомпрометировала кухню.",1,1
683,паста VS пицца_objA,ru,"Вообще, паста мне нравится даже больше, чем пицца — хорошо заходит.","Вообще, паста мне нравится даже больше, чем пицца — хорошо заходит.",2,1
684,паста VS пицца_objA,ru,"Тот, кто не ест пиццу, тот заказывает пасту и тоже доволен.","Тот, кто не ест пиццу, тот заказывает пасту и тоже доволен.",2,2
685,паста VS пицца_objA,ru,"Нередко бывает, что кто-то в компании предпочитает салат или пасту, а не пиццу.","Нередко бывает, что кто-то в компании предпочитает салат или пасту, а не пиццу.",2,2
686,паста VS пицца_objA,ru,"А вместо пиццы, сделанной «под туристов», вас накормят пастой по старинному рецепту.","А вместо пиццы, сделанной «под туристов», вас накормят пастой по старинному рецепту.",0,2
687,паста VS пицца_objB,ru,"Мне там понравилась паста с горгонзолой, а пицца у нас вкуснее.","Мне там понравилась паста с горгонзолой, а пицца у нас вкуснее.",2,2
688,паста VS пицца_objB,ru,"Порция пасты и в правду маленькая, лазанья и паста не понравились, пицца вкусная.","Порция пасты и в правду маленькая, лазанья и паста не понравились, пицца вкусная.",2,2
689,паста VS пицца_objB,ru,"Здесь можно взять также пасту и салаты, хотя они менее популярны, чем пицца.","Здесь можно взять также пасту и салаты, хотя они менее популярны, чем пицца.",2,2
690,ибупрофен VS аспирин_objA,en,"Ибупрофен, как правило, работает лучше для мужчин, парацетомол легче на желудке, чем аспирин и т.д.","Ибупрофен, как правило, работает лучше для мужчин, парацетомол легче на желудке, чем аспирин и т.д.",1,1
691,ибупрофен VS аспирин_objA,en,"Ибупрофен лучше для тебя, чем аспирин.","Ибупрофен лучше для тебя, чем аспирин.",2,1
692,ибупрофен VS аспирин_objA,en,"В большинстве случаев аспирин считается ниже ибупрофена для облегчения боли, поскольку аспирин чаще вызывает кровотечение желудочно-кишечного кишечника.","В большинстве случаев аспирин считается ниже ибупрофена для облегчения боли, поскольку аспирин чаще вызывает кровотечение желудочно-кишечного кишечника.",2,1
693,ибупрофен VS аспирин_objA,en,"Аспирин также очень тяжёлый для желудка, намного тяжелее, чем ибупрофен.","Аспирин также очень тяжёлый для желудка, намного тяжелее, чем ибупрофен.",2,1
694,ибупрофен VS аспирин_objA,en,"Sunshine et al обнаружили, что ибупрофен значительно выше аспирин при постпепсиотомии.","Sunshine et al обнаружили, что ибупрофен значительно выше аспирин при постпепсиотомии.",2,1
695,ибупрофен VS аспирин_objA,en,"Sunshine et al пришли к выводу, что ибупрофен значительно выше аспирин при пост-эпизиотомии.","Sunshine et al пришли к выводу, что ибупрофен значительно выше аспирин при пост-эпизиотомии.",2,1
696,ибупрофен VS аспирин_objA,en,"Ибупрофен обычно работает лучше, чем аспирин для облегчения менструальных спазмов.","Ибупрофен обычно работает лучше, чем аспирин для облегчения менструальных спазмов.",2,2
697,ибупрофен VS аспирин_objA,en,"Ибупрофен довольно безопаснее, чем Аспирин, учитывая обратимую природу эффектов антитабличек.","Ибупрофен довольно безопаснее, чем Аспирин, учитывая обратимую природу эффектов антитабличек.",2,1
698,ибупрофен VS аспирин_objA,en,"Возьмите Адвил (иверофон лучше противовоспалительного, чем аспирин или ацетаминофен).","Возьмите Адвил (иверофон лучше противовоспалительного, чем аспирин или ацетаминофен).",0,1
699,ибупрофен VS аспирин_objA,en,"[ 31] Ибупрофен также выше аспирин, [32] который обычно не рекомендуется у детей из - за риска синдрома Рей.","[ 31] Ибупрофен также выше аспирин, [32] который обычно не рекомендуется у детей из - за риска синдрома Рей.",2,1
700,ибупрофен VS аспирин_objB,en,"Напросин Е - энтерогенный напроксин, который, как мне показалось, работает лучше, чем ибупрофен для некоторых видов боли, но напроксин хуже, чем аспирин в желудке.","Напросин Е - энтерогенный напроксин, который, как мне показалось, работает лучше, чем ибупрофен для некоторых видов боли, но напроксин хуже, чем аспирин в желудке.",0,1
701,ибупрофен VS аспирин_objB,en,"9 Исследование, в котором были учтены эти более серьезные случаи, показало, что ацетаминофен/аспирин/каффеин превышает 400 мг ибупрофена.","9 Исследование, в котором были учтены эти более серьезные случаи, показало, что ацетаминофен/аспирин/каффеин превышает 400 мг ибупрофена.",1,1
702,ибупрофен VS аспирин_objB,en,"Продукты OTC, содержащие смесь ацетаминофена, аспирин и кофеина, были обнаружены для снятия боли на 20 минут быстрее, чем ибупрофен.","Продукты OTC, содержащие смесь ацетаминофена, аспирин и кофеина, были обнаружены для снятия боли на 20 минут быстрее, чем ибупрофен.",2,1
703,ибупрофен VS аспирин_objB,en,"На самом деле, ибупрофен для собак еще хуже и опаснее, чем аспирин, и его следует избегать любой ценой.","На самом деле, ибупрофен для собак еще хуже и опаснее, чем аспирин, и его следует избегать любой ценой.",2,2
704,ибупрофен VS аспирин_objB,en,"Использование чего-то вроде Excedrin Migraine (комбинация тиленола, аспирин и кофеина) работает намного лучше, чем прямой Advil/Motrin/ibuprofen.","Использование чего-то вроде Excedrin Migraine (комбинация тиленола, аспирин и кофеина) работает намного лучше, чем прямой Advil/Motrin/ibuprofen.",2,2
705,ибупрофен VS аспирин_objB,en,"Ацетаминофен или аспирин являются более безопасными альтернативами, чтобы справляться с болью, чем полагаться на такие, как ибупрофен и напроксин, что может увеличить риск сердечного приступа или инсульта.","Ацетаминофен или аспирин являются более безопасными альтернативами, чтобы справляться с болью, чем полагаться на такие, как ибупрофен и напроксин, что может увеличить риск сердечного приступа или инсульта.",2,1
706,ибупрофен VS аспирин_objB,en,"Если твои колени уже хорошо смазаны, я нахожу, что аспирин работает лучше, чем ибупрофен, когда дело касается лечения головной боли.","Если твои колени уже хорошо смазаны, я нахожу, что аспирин работает лучше, чем ибупрофен, когда дело касается лечения головной боли.",2,1
707,ибупрофен VS аспирин_objB,en,"Моя мать клянётся, что настоящий аспирин лучше, чем ибупрофен для солнечных ожогов, но я думаю, тебе нужно начать принимать его прямо сейчас.","Моя мать клянётся, что настоящий аспирин лучше, чем ибупрофен для солнечных ожогов, но я думаю, тебе нужно начать принимать его прямо сейчас.",2,0
708,ибупрофен VS аспирин_objB,en,"В одном из недавних контролируемых исследований был сделан вывод о том, что лекарство, сочетающее ацетаминофен, аспирин и кофеин, лучше смягчает симптомы мигрени, чем один только ибупрофен.","В одном из недавних контролируемых исследований был сделан вывод о том, что лекарство, сочетающее ацетаминофен, аспирин и кофеин, лучше смягчает симптомы мигрени, чем один только ибупрофен.",2,2
709,ибупрофен VS аспирин_objA,ru,"Ибупрофен и напроксен обычно более эффективны, чем аспирин и ацетаминофен.","Ибупрофен и напроксен обычно более эффективны, чем аспирин и ацетаминофен.",2,2
710,ибупрофен VS аспирин_objA,ru,"Ибупрофен (Advil) и напроксен (Aleve) снимают спазмы лучшие, чем аспирин.","Ибупрофен (Advil) и напроксен (Aleve) снимают спазмы лучшие, чем аспирин.",2,2
711,ибупрофен VS аспирин_objA,ru,Оценка эффективности и комфорта ибупрофена по сравнению с аспирином и парацетамолом у детей с лихорадкой.,Оценка эффективности и комфорта ибупрофена по сравнению с аспирином и парацетамолом у детей с лихорадкой.,0,1
712,ибупрофен VS аспирин_objA,ru,Детям с бронхитом нельзя давать аспирин; вместо этого им следует принимать парацетамол или ибупрофен.,Детям с бронхитом нельзя давать аспирин;вместо этого им следует принимать парацетамол или ибупрофен.,2,2
713,ибупрофен VS аспирин_objA,ru,Детям с бронхитом нельзя давать аспирин; вместо этого им следует принимать ацетаминофен или ибупрофен.,Детям с бронхитом нельзя давать аспирин;вместо этого им следует принимать ацетаминофен или ибупрофен.,2,2
714,ибупрофен VS аспирин_objA,ru,"Ибупрофен (например, Адвил) и напроксен (например, Алив) могут работать лучше, чем аспирин.","Ибупрофен (например, Адвил) и напроксен (например, Алив) могут работать лучше, чем аспирин.",2,2
715,ибупрофен VS аспирин_objA,ru,"Ибупрофен разрешён к приёму во втором триместре, а вот от аспирина придётся полностью отказаться.","Ибупрофен разрешён к приёму во втором триместре, а вот от аспирина придётся полностью отказаться.",2,2
716,ибупрофен VS аспирин_objB,ru,"Ибупрофен не вызывает такого сильного кровотечения, как аспирин, но он вызывает больше, чем ацетаминофен.","Ибупрофен не вызывает такого сильного кровотечения, как аспирин, но он вызывает больше, чем ацетаминофен.",2,2
717,ибупрофен VS аспирин_objB,ru,"В то же время, популярный анальгетик ибупрофен явно ухудшал эффект аспирина.","В то же время, популярный анальгетик ибупрофен явно ухудшал эффект аспирина.",2,2
718,стальные ножи VS керамические ножи_objA,en,"Керамические ножи тяжелее стальных ножей, их можно сделать намного острее, чем стальные ножи, держать их край в десять раз дольше стальных ножей, легче стальных ножей, не коричневые продукты питания, перенос металлического вкуса или запаха или ржавчины.","Керамические ножи тяжелее стальных ножей, их можно сделать намного острее, чем стальные ножи, держать их край в десять раз дольше стальных ножей, легче стальных ножей, не коричневые продукты питания, перенос металлического вкуса или запаха или ржавчины.",2,1
719,стальные ножи VS керамические ножи_objA,en,"В то время как они тяжелее стали, кромка более хрупкая, чем стальные ножи.","В то время как они тяжелее стали, кромка более хрупкая, чем стальные ножи.",2,2
720,стальные ножи VS керамические ножи_objA,en,"Керамические ножи тяжелее стальных ножей, и поэтому они в гораздо большей степени сопротивляются износу.","Керамические ножи тяжелее стальных ножей, и поэтому они в гораздо большей степени сопротивляются износу.",2,2
721,стальные ножи VS керамические ножи_objA,en,"- Долгая жизнь: Керамические ножи тяжелее стальных ножей, поэтому они могут удерживать резкий край гораздо дольше.","- Долгая жизнь: Керамические ножи тяжелее стальных ножей, поэтому они могут удерживать резкий край гораздо дольше.",2,1
722,стальные ножи VS керамические ножи_objA,en,"Керамические ножи (или окись циркония - единственный материал в мире, который труднее всего - бриллиант) острее, чем стальные ножи, и острее до 15x.","Керамические ножи (или окись циркония - единственный материал в мире, который труднее всего - бриллиант) острее, чем стальные ножи, и острее до 15x.",2,1
723,стальные ножи VS керамические ножи_objB,en,Некоторые (не такие уж и дешевые) керамические ножи могут быть выше стальных ножей.,Некоторые (не такие уж и дешевые) керамические ножи могут быть выше стальных ножей.,2,1
724,стальные ножи VS керамические ножи_objB,en,Керамические ножи сохраняют свою остроту примерно в десять раз дольше и примерно на треть легче стальных ножей.,Керамические ножи сохраняют свою остроту примерно в десять раз дольше и примерно на треть легче стальных ножей.,2,2
725,стальные ножи VS керамические ножи_objB,en,Керамические ножи сохраняют свою остроту примерно в десять раз дольше и примерно на треть легче стальных ножей.,Керамические ножи сохраняют свою остроту примерно в десять раз дольше и примерно на треть легче стальных ножей.,2,2
726,стальные ножи VS керамические ножи_objB,en,Керамические ножи остаются... острыми в десять раз дольше и примерно на треть легче стальных ножей.,Керамические ножи остаются... острыми в десять раз дольше и примерно на треть легче стальных ножей.,2,2
727,стальные ножи VS керамические ножи_objB,en,Керамические ножи сохраняют свою остроту примерно в десять раз дольше и примерно на треть легче стальных ножей.,Керамические ножи сохраняют свою остроту примерно в десять раз дольше и примерно на треть легче стальных ножей.,2,2
728,стальные ножи VS керамические ножи_objB,en,Лезвие керамических ножей сохраняет свою остроту... примерно в десять раз дольше и примерно на треть легче стальных ножей.,Лезвие керамических ножей сохраняет свою остроту... примерно в десять раз дольше и примерно на треть легче стальных ножей.,2,2
729,стальные ножи VS керамические ножи_objB,en,Керамические ножи сохраняют свою остроту в десять раз дольше и на одну треть легче стальных ножей и не ржавеют.,Керамические ножи сохраняют свою остроту в десять раз дольше и на одну треть легче стальных ножей и не ржавеют.,2,2
730,стальные ножи VS керамические ножи_objB,en,"Керамические ножи значительно легче стальных ножей, не будут коррозировать в суровых условиях, немагнитные и не будут производить электричество при комнатной температуре.","Керамические ножи значительно легче стальных ножей, не будут коррозировать в суровых условиях, немагнитные и не будут производить электричество при комнатной температуре.",2,1
731,стальные ножи VS керамические ножи_objB,en,"Керамические ножи держат свой край гораздо лучше стальных ножей, и с этим приходит почти хирургическая точность (мина является единственным прямым ножом, в отличие от зазубринного ножа, который я использую для разрезания томатов).","Керамические ножи держат свой край гораздо лучше стальных ножей, и с этим приходит почти хирургическая точность (мина является единственным прямым ножом, в отличие от зазубринного ножа, который я использую для разрезания томатов).",2,2
732,стальные ножи VS керамические ножи_objA,ru,"Начнем с того, что керамические ножи намного более прочные, чем ножи из других материалов.","Начнем с того, что керамические ножи намного более прочные, чем ножи из других материалов.",2,2
733,стальные ножи VS керамические ножи_objA,ru,"Если сравнивать ножи одинакового размера, то керамический нож будет в два раза легче стального.","Если сравнивать ножи одинакового размера, то керамический нож будет в два раза легче стального.",2,2
734,стальные ножи VS керамические ножи_objA,ru,По сравнению со стальными ножами керамические ножи фирмы KYOCERA из циркония имеют революционные преимущества.,По сравнению со стальными ножами керамические ножи фирмы KYOCERA из циркония имеют революционные преимущества.,2,2
735,стальные ножи VS керамические ножи_objA,ru,"Кроме того, керамические ножи намного легче по сравнению со своими стальными собратьями.","Кроме того, керамические ножи намного легче по сравнению со своими стальными собратьями.",2,2
736,стальные ножи VS керамические ножи_objA,ru,"Один нож разбили, пришёл к выводу что стальные лучше и практичнее.","Один нож разбили, пришёл к выводу что стальные лучше и практичнее.",2,1
737,стальные ножи VS керамические ножи_objB,ru,"Достоинства керамических ножей: • Износостойкость в несколько раз выше, чем у стальных ножей.","Достоинства керамических ножей: • Износостойкость в несколько раз выше, чем у стальных ножей.",2,2
738,стальные ножи VS керамические ножи_objB,ru,"Керамические ножи примерно в два раза легче, чем стальной нож, а это значит, что Вы сможете нарезать продукты, приложив вдвое меньше усилий.","Керамические ножи примерно в два раза легче, чем стальной нож, а это значит, что Вы сможете нарезать продукты, приложив вдвое меньше усилий.",2,1
739,стальные ножи VS керамические ножи_objB,ru,"Керамические ножи остаются острыми намного дольше, чем ножи из кованого металла.","Керамические ножи остаются острыми намного дольше, чем ножи из кованого металла.",2,2
740,стальные ножи VS керамические ножи_objB,ru,"Керамические ножи – хрупкие и требуют деликатного отношения, но имеют целый ряд преимуществ перед стальными «коллегами».","Керамические ножи – хрупкие и требуют деликатного отношения, но имеют целый ряд преимуществ перед стальными «коллегами».",2,2
741,стальные ножи VS керамические ножи_objB,ru,"В то же время режущая способность и долговечность стальных ножей намного выше, чем у пластиковых ножей.","В то же время режущая способность и долговечность стальных ножей намного выше, чем у пластиковых ножей.",0,2
742,стальные ножи VS керамические ножи_objB,ru,"Ножи из циркониевой керамики очень острые и в несколькораз дольше держат заводскую заточку, чем стальные ножи;","Ножи из циркониевой керамики очень острые и в несколькораз дольше держат заводскую заточку, чем стальные ножи",2,2
743,стальные ножи VS керамические ножи_objB,ru,"Помимо того, что керамические ножи лучше стальных ножей для тонкой нарезки в домашних условиях, они дольше остаются острее.","Помимо того, что керамические ножи лучше стальных ножей для тонкой нарезки в домашних условиях, они дольше остаются острее.",2,2
744,утреннее солнце VS солнце после полудня_objA,en,"И помните: утром солнце круче, чем после полудня.","И помните: утром солнце круче, чем после полудня.",2,1
745,утреннее солнце VS солнце после полудня_objA,en,"Утреннее солнце круче и нежнее, чем после полудня.","Утреннее солнце круче и нежнее, чем после полудня.",2,1
746,утреннее солнце VS солнце после полудня_objA,en,"Рано утром солнце лучше, чем после полудня, так как цветы длиннее в более холодных условиях.","Рано утром солнце лучше, чем после полудня, так как цветы длиннее в более холодных условиях.",2,1
747,утреннее солнце VS солнце после полудня_objA,en,"Утреннее солнце лучше, чем после полудня.","Утреннее солнце лучше, чем после полудня.",2,2
748,утреннее солнце VS солнце после полудня_objA,en,"Утреннее солнце лучше, чем жаркое, после полудня.","Утреннее солнце лучше, чем жаркое, после полудня.",2,2
749,утреннее солнце VS солнце после полудня_objA,en,"Как хорошо знают опытные садовники, утреннее солнце круче, чем послеобеденное.","Как хорошо знают опытные садовники, утреннее солнце круче, чем послеобеденное.",2,1
750,утреннее солнце VS солнце после полудня_objA,en,"Рано утром солнце лучше, чем поздно после полудня.","Рано утром солнце лучше, чем поздно после полудня.",2,2
751,утреннее солнце VS солнце после полудня_objA,en,"Утреннее солнце лучше, чем жаркое днём.","Утреннее солнце лучше, чем жаркое днём.",2,2
752,утреннее солнце VS солнце после полудня_objA,en,"Утреннее солнце прохладнее и меньшее напряжение на растениях, чем полуденное или позднее полуденное солнце.","Утреннее солнце прохладнее и меньшее напряжение на растениях, чем полуденное или позднее полуденное солнце.",2,1
753,утреннее солнце VS солнце после полудня_objA,en,"Я слышала слухи, что утреннее солнце лучше, чем после полудня.","Я слышала слухи, что утреннее солнце лучше, чем после полудня.",2,1
754,утреннее солнце VS солнце после полудня_objA,ru,"Герберы можно выращивать на полном солнце, но лучше на утреннем солнце и в полуденной тени.","Герберы можно выращивать на полном солнце, но лучше на утреннем солнце и в полуденной тени.",1,2
755,утреннее солнце VS солнце после полудня_objA,ru,"Местоположение солнечное, но яркое солнце после полудня менее полезно, притененное.","Местоположение солнечное, но яркое солнце после полудня менее полезно, притененное.",1,1
756,утреннее солнце VS солнце после полудня_objA,ru,Лучше всего утреннее солнце с отраженным светом в остальное время.,Лучше всего утреннее солнце с отраженным светом в остальное время.,2,2
757,утреннее солнце VS солнце после полудня_objA,ru,"Жаркое летнее солнце Многие рододендроны лучше переносят утреннее солнце, хотя есть некоторые виды и сорта, которые вообще не переносят солнце.","Жаркое летнее солнце Многие рододендроны лучше переносят утреннее солнце, хотя есть некоторые виды и сорта, которые вообще не переносят солнце.",2,2
758,утреннее солнце VS солнце после полудня_objA,ru,"А точнее, риск получения меланомы в 46 раз ниже, чем при нахождении на солнце после полудня.","А точнее, риск получения меланомы в 46 раз ниже, чем при нахождении на солнце после полудня.",2,2
759,утреннее солнце VS солнце после полудня_objB,ru,"Утреннее солнце всегда предпочтительнее полуденного солнца, которое может обжечь растения.","Утреннее солнце всегда предпочтительнее полуденного солнца, которое может обжечь растения.",2,2
760,утреннее солнце VS солнце после полудня_objB,ru,"Они предпочитают утреннее солнце, хотя могут переносить полное солнце в более прохладном климате.","Они предпочитают утреннее солнце, хотя могут переносить полное солнце в более прохладном климате.",1,2
761,Кения VS Танзания_objA,en,"Участники из Кении и Намибии сообщили о более серьезных депрессивных симптомах, чем у Танзании.","Участники из Кении и Намибии сообщили о более серьезных депрессивных симптомах, чем у Танзании.",2,1
762,Кения VS Танзания_objA,en,"Для тех, кто в курсе, Кения даже лучше Танзании.","Для тех, кто в курсе, Кения даже лучше Танзании.",2,1
763,Кения VS Танзания_objA,en,"Самая коррумпированная - Танзания, намного хуже, чем Кенья, о которой я тоже знаю.","Самая коррумпированная - Танзания, намного хуже, чем Кенья, о которой я тоже знаю.",2,2
764,Кения VS Танзания_objA,en,"Международный аэропорт в Найроби, Кения, больше и лучше обслуживается, чем Дар-эс-Салам, Танзания, так что большинство туристов, прибывающих в Танзанию, начинают в Кении.","Международный аэропорт в Найроби, Кения, больше и лучше обслуживается, чем Дар-эс-Салам, Танзания, так что большинство туристов, прибывающих в Танзанию, начинают в Кении.",2,2
765,Кения VS Танзания_objA,en,"Танзания, кажется, намного беднее Кении, а ландшафт, несмотря на поразительную красоту, представляется очень трудным местом для жизни.","Танзания, кажется, намного беднее Кении, а ландшафт, несмотря на поразительную красоту, представляется очень трудным местом для жизни.",2,2
766,Кения VS Танзания_objA,en,"Мы решили начать программу в Танзании - стране, которая еще беднее Кении, и стране с социалистической и гораздо менее предпринимательской историей.","Мы решили начать программу в Танзании - стране, которая еще беднее Кении, и стране с социалистической и гораздо менее предпринимательской историей.",2,2
